report id,ReCDroid_1 Result,ReCDroid_1 Total Runtime,ReCDroid_1 NLP Runtime,ReCDroid_1 Search Runtime,Yakusu_1 Result,Yakusu_1 Total Runtime,Yakusu_1 NLP Runtime,Yakusu_1 Search Runtime,Reprobot_1 Result,ReproBot_1 Total Runtime,ReproBot_1 NLP Runtime,ReproBot_1 Search Runtime,ReproBot_2 Result,ReproBot_2 Total Runtime,ReproBot_2 NLP Runtime,ReproBot_2 Search Runtime,ReproBot_3 Result,ReproBot_3 Total Runtime,ReproBot_3 NLP Runtime,ReproBot_3 Search Runtime,# Success,VariantB Result,VariantB Total Runtime,VariantA_1 Result,VariantA_1 Total Runtime,VariantA_2 Result,VariantA_2 Total Runtime,VariantA_3 Result,VariantA_3 Total Runtime,# Success
saner2022-1089,Failed Timeout,3600,19.4,3580.6,Failed Timeout,3600,442.9,3157.1,Success,74.2,29.3,44.9,Success,242.2,28.3,213.9,False Reproduction,111.2,31,80.1,2,Failed Timeout,3600,Success,71.6,Success,143,Success,716.7,3
saner2022-1096,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,884.7,2715.3,Success,763.4,29.4,734,Success,1378.6,28.2,1350.4,Failed Timeout,3600,28.7,3571.3,2,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Success,705.5,1
saner2022-11,Failed Timeout,3600,3.4,3596.6,Yakusu could not run on the app,,,,Success,47.5,26.4,21.1,Success,30.9,24.6,6.3,Success,37.8,28.4,9.4,3,Failed Timeout,3600,Success,23.8,Success,21.9,Success,6.1,3
saner2022-1133,Success,2600.3,3.3,2597,Success,788.7,691.7,97,Success,45.2,26.3,18.9,Success,96.3,27.6,68.7,Failed Timeout,3600,30.3,3569.7,2,Success,2516.5,Success,1076.6,Failed Timeout,3600,Failed Timeout,3600,1
saner2022-1160,Success,511.3,3.2,508.1,Failed Timeout,3600,414.3,3185.7,False Reproduction,1478.7,26.8,1451.9,Success,1942.5,26.8,1915.7,Success,196,30.2,165.8,2,Success,505.6,Success,1073.9,Success,406.9,Failed Timeout,3600,2
saner2022-1207,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,400.6,3199.4,Success,475.1,28.7,446.4,Success,1269.9,29.7,1240.2,Success,1234.2,34,1200.2,3,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1215,Failed Timeout,3600,3.6,3596.4,Failed Timeout,3600,564.8,3035.2,Success,758.9,30.5,728.4,Success,265.4,29.8,235.6,Success,1053,35.2,1017.8,3,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Success,1572,1
saner2022-1226,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,646.3,2953.7,Failed Timeout,3600,24.3,3575.7,Failed Timeout,3600,27.4,3572.6,Failed Timeout,3600,28.9,3571.1,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
saner2022-1227,Success,196.5,3.2,193.3,Success,2800.5,689.6,2110.9,Success,506,27,478.9,Success,772.1,26,746.2,Success,781.3,25.6,755.6,3,Success,191.1,Success,268.8,Success,172.6,Success,179.7,3
saner2022-129,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,540.2,3059.8,Failed Timeout,3600,27.6,3572.4,Failed Timeout,3600,28.3,3571.7,Failed Timeout,3600,29.5,3570.5,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
